id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
879;Taller de informática básica. Iniciándonos con el ordenador;DemoEM;879;¿Aún no te manejas con las nuevas tecnologías? ¿Piensas que es complicado o difícil y por eso no lo intentas? No te des por vencida. En este encuentro aprenderemos los pasos básicos para iniciarte con el ordenador. Todos los miércoles a las 17 ;;-3.7143358486689415;40.433958260960964;2021-11-03T17:00:00.0Z;2021-11-24T23:59:00.0Z;Leisure;CursosTalleres
880;Taller de informática: primeros pasos;DemoEM;880;En este taller trimestral aprenderás a manejarte en el uso del ordenador, no necesitarás tener conocimientos previos. Si no sabes o quieres mejorar sobre Windows, Word, Excel, Internet, correo electrónico, éste es tu taller. Trae tu propio port;;-3.6501714580414126;40.46155641637237;2021-11-02T18:30:00.0Z;2021-11-30T23:59:00.0Z;Leisure;CursosTalleres
881;Taller de Inglés - Conversaciones en Inglés;DemoEM;881;;;-3.700809560921597;40.334751832113774;2021-11-02T17:30:00.0Z;2021-12-21T23:59:00.0Z;Leisure;CursosTalleres
882;Taller de Magia Infantil;DemoEM;882;;;-3.708524395897377;40.34636268334182;2021-10-23T11:00:00.0Z;2021-12-18T23:59:00.0Z;Leisure;CursosTalleres
883;Taller de opera;DemoEM;883;;;-3.7106116887809817;40.42737760210632;2021-09-14T18:30:00.0Z;2021-12-21T23:59:00.0Z;Leisure;CursosTalleres
884;Taller de smartphone: aprendo en red;DemoEM;884;Afrontamos la brecha digital resolviendo juntas las dudas sobre nuestro Smartphone. Creamos una red de dudas y aprendizajes para avanzar en colectivo en nuestra autonomía.Más libres, más autónomas, mejor en red.Nivel básico e intermedio.  Lunes;;-3.6700689174427326;40.46088981165102;2021-11-08T12:30:00.0Z;2021-11-22T23:59:00.0Z;Leisure;CursosTalleres
885;Taller de teatro en inglés;DemoEM;885;;;-3.6958072892892155;40.391054868587204;2021-10-05T17:30:00.0Z;2021-12-21T23:59:00.0Z;Leisure;None
886;Taller de teatro infantil;DemoEM;886;;;-3.673881351837232;40.397020792322316;2021-10-02T11:00:00.0Z;2021-12-18T23:59:00.0Z;Leisure;CursosTalleres
887;Taller de Técnicas de Estudio;DemoEM;887;;;-3.6940501846610894;40.35639654251886;2021-11-02T17:30:00.0Z;2021-11-30T23:59:00.0Z;Leisure;CursosTalleres
888;Taller De Técnicas De Mindfulness Para Adultos;DemoEM;888;;;-3.708524395897377;40.34636268334182;2021-10-05T00:00:00.0Z;2021-12-21T23:59:00.0Z;Leisure;CursosTalleres
889;Taller idiomas: 'Remedial English Stage 1';DemoEM;889;;;-3.7098591212735883;40.41410290844665;2021-09-28T17:00:00.0Z;2022-05-24T23:59:00.0Z;Leisure;CursosTalleres
890;Taller infantil: El otoño: Color y arte;DemoEM;890;Programa Salmerón para niños. El otoño es una estación del año en la que caen las hojas de los árboles, el clima se hace más templado y los días y noches tienen el mismo tiempo de duración. Aprovechando la estación en la que nos encontramos rea;;-3.6762309620097398;40.44810636195716;2021-11-13T12:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;CursosTalleres
891;Taller infantil: Pompas de Jabón y una gran Científica;DemoEM;891;Conmemoración Día Internacional de la Eliminación de la Violencia Contra la Mujer. Programa Salmerón para niños. Taller infantil científico sobre la figura de Margarita Salas, a través de una actividad lúdica como la creación de pompas de jabón;;-3.6762309620097398;40.44810636195716;2021-11-27T12:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;CursosTalleres
892;Taller infantil: ¡Vamos a jugar!;DemoEM;892;Programa Salmerón para niños. Día Universal del Niño. El Día Universal del Niño, que se celebra todos los años el 20 de noviembre, es un día dedicado a todos los niños y niñas del mundo. Es una ocasión especial para recordar la importancia de t;;-3.6762309620097398;40.44810636195716;2021-11-20T12:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;CursosTalleres
893;Taller Online de Inglés - ´Inglés Para Viajeros´;DemoEM;893;;;-3.700809560921597;40.334751832113774;2021-11-02T19:30:00.0Z;2021-12-21T23:59:00.0Z;Leisure;CursosTalleres
